$HOME/.local/bin/brilcalc lumi -b "STABLE BEAMS" --normtag /afs/cern.ch/user/l/lumipro/public/normtag_file/normtag_DATACERT.json -i Cert_271036-280385_13TeV_PromptReco_Collisions16_JSON.txt --hltpath HLT_Ele105_CaloIdVT_GsfTrkIdT_v* -u /pb

+-------------+-------------------+------+----------------------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath                          | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+----------------------------------+----------------+---------------+
| 273158:4915 | 05/11/16 20:42:35 | 1279 | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 55.022         | 51.655        |
| 273302:4919 | 05/13/16 02:13:38 | 459  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 17.532         | 16.819        |
| 273402:4924 | 05/14/16 01:49:19 | 193  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 7.180          | 6.792         |
| 273403:4924 | 05/14/16 03:05:27 | 53   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 1.979          | 1.878         |
| 273404:4924 | 05/14/16 03:31:50 | 18   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.667          | 0.630         |
| 273405:4924 | 05/14/16 03:42:33 | 24   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.887          | 0.824         |
| 273406:4924 | 05/14/16 03:56:09 | 112  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 4.072          | 3.888         |
| 273408:4924 | 05/14/16 04:52:04 | 6    | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.215          | 0.186         |
| 273409:4924 | 05/14/16 04:56:41 | 309  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 10.825         | 9.726         |
| 273410:4924 | 05/14/16 06:59:49 | 90   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 3.066          | 2.817         |
| 273411:4924 | 05/14/16 07:38:50 | 29   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 0.811          | 0.759         |
| 273425:4925 | 05/14/16 11:17:57 | 671  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 28.935         | 27.512        |
| 273446:4926 | 05/14/16 20:06:55 | 33   | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 2.356          | 2.203         |
| 273447:4926 | 05/14/16 20:26:09 | 411  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 28.003         | 26.660        |
| 273448:4926 | 05/14/16 23:11:51 | 391  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 24.525         | 23.334        |
| 273449:4926 | 05/15/16 01:50:05 | 209  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 12.362         | 11.800        |
| 273450:4926 | 05/15/16 03:19:37 | 643  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 34.664         | 33.191        |
| 273492:4930 | 05/16/16 09:07:35 | 265  | HLT_Ele105_CaloIdVT_GsfTrkIdT_v3 | 13.076         | 12.517        |
