$HOME/.local/bin/brilcalc lumi --normtag /afs/cern.ch/user/l/lumipro/public/normtag_file/normtag_DATACERT.json -i Cert_271036-275783_13TeV_PromptReco_Collisions16_JSON.txt --hltpath HLT_Mu45_eta2p1_v* -u /pb

+-------------+-------------------+------+--------------------+----------------+---------------+
| run:fill    | time              | ncms | hltpath            | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+--------------------+----------------+---------------+
| 273158:4915 | 05/11/16 20:42:35 | 1279 | HLT_Mu45_eta2p1_v2 | 54.873         | 51.514        |
| 273302:4919 | 05/13/16 02:13:38 | 459  | HLT_Mu45_eta2p1_v2 | 17.491         | 16.780        |
| 273402:4924 | 05/14/16 01:49:19 | 193  | HLT_Mu45_eta2p1_v2 | 7.142          | 6.756         |
| 273403:4924 | 05/14/16 03:05:27 | 53   | HLT_Mu45_eta2p1_v2 | 1.979          | 1.878         |
| 273404:4924 | 05/14/16 03:31:50 | 18   | HLT_Mu45_eta2p1_v2 | 0.667          | 0.630         |
| 273405:4924 | 05/14/16 03:42:33 | 24   | HLT_Mu45_eta2p1_v2 | 0.866          | 0.806         |
| 273406:4924 | 05/14/16 04:02:46 | 112  | HLT_Mu45_eta2p1_v2 | 4.057          | 3.874         |
| 273408:4924 | 05/14/16 04:52:04 | 6    | HLT_Mu45_eta2p1_v2 | 0.215          | 0.186         |
| 273409:4924 | 05/14/16 04:56:41 | 309  | HLT_Mu45_eta2p1_v2 | 10.803         | 9.706         |
| 273410:4924 | 05/14/16 06:59:49 | 90   | HLT_Mu45_eta2p1_v2 | 3.066          | 2.817         |
| 273411:4924 | 05/14/16 07:38:50 | 29   | HLT_Mu45_eta2p1_v2 | 0.811          | 0.759         |
| 273425:4925 | 05/14/16 11:17:57 | 671  | HLT_Mu45_eta2p1_v2 | 28.936         | 27.513        |
| 273446:4926 | 05/14/16 20:12:44 | 33   | HLT_Mu45_eta2p1_v2 | 2.358          | 2.205         |
| 273447:4926 | 05/14/16 20:26:09 | 411  | HLT_Mu45_eta2p1_v2 | 28.007         | 26.664        |
| 273448:4926 | 05/14/16 23:11:51 | 391  | HLT_Mu45_eta2p1_v2 | 24.525         | 23.334        |
| 273449:4926 | 05/15/16 01:50:05 | 209  | HLT_Mu45_eta2p1_v2 | 12.362         | 11.800        |
| 273450:4926 | 05/15/16 03:19:37 | 643  | HLT_Mu45_eta2p1_v2 | 34.664         | 33.191        |
| 273492:4930 | 05/16/16 09:07:35 | 265  | HLT_Mu45_eta2p1_v2 | 13.076         | 12.517        |
| 273493:4930 | 05/16/16 10:55:26 | 231  | HLT_Mu45_eta2p1_v2 | 11.173         | 10.738        |
| 273494:4930 | 05/16/16 12:28:40 | 192  | HLT_Mu45_eta2p1_v2 | 8.995          | 8.704         |
| 273502:4935 | 05/16/16 20:00:07 | 989  | HLT_Mu45_eta2p1_v2 | 50.152         | 48.296        |
| 273503:4935 | 05/17/16 02:31:25 | 598  | HLT_Mu45_eta2p1_v2 | 27.007         | 26.175        |
| 273554:4942 | 05/18/16 05:30:44 | 361  | HLT_Mu45_eta2p1_v2 | 28.706         | 27.530        |
| 273555:4942 | 05/18/16 07:55:51 | 173  | HLT_Mu45_eta2p1_v2 | 12.983         | 12.563        |
| 273725:4947 | 05/20/16 02:37:26 | 2462 | HLT_Mu45_eta2p1_v2 | 165.379        | 159.873       |
| 273728:4947 | 05/20/16 19:02:03 | 100  | HLT_Mu45_eta2p1_v2 | 5.287          | 5.081         |
| 273730:4947 | 05/20/16 19:47:25 | 2121 | HLT_Mu45_eta2p1_v2 | 91.928         | 89.572        |
| 274094:4953 | 05/27/16 02:21:04 | 225  | HLT_Mu45_eta2p1_v2 | 10.467         | 10.071        |
| 274146:4956 | 05/27/16 22:10:58 | 65   | HLT_Mu45_eta2p1_v2 | 5.642          | 5.359         |
| 274159:4958 | 05/28/16 14:43:47 | 43   | HLT_Mu45_eta2p1_v2 | 4.141          | 3.669         |
